title,stars,folks,main contributors
mingrammer / diagrams,8274,456,mingrammer,yu-iskw,gabriel-tessier,nlamirault,leandrodamascena
baowenbo / DAIN,5304,554,baowenbo,styler00dollar,AlphaGit,zhhezhhe,Audition-CSBlock
Ciphey / Ciphey,4429,226,bee-san,Cyclic3,lukasgabriel,appsallcontributors,SkeletalDemise
iGhibli / iOS-DeviceSupport,4653,723,iGhibli,anismansuri63,dinarajas,MichalTKwiecien,vrwim
TheAlgorithms / Python,85995,25143,harshildarji,cclauss,dynamitechetan,AnupKumarPanwar,SandersLin
SecureAuthCorp / impacket,5498,1624,asolino,dirkjanm,mohemiv,kacpern,MrAnde7son
drduh / macOS-Security-and-Privacy-Guide,17250,1214,drduh,sqrthree,Or3stis,DeadLion,TraderStf
connorferster / handcalcs,2573,165,connorferster,cclauss,eriknw,gxyd,anishLearnsToCode
trekhleb / learn-python,5113,908,trekhleb,vilmacio,hfanahita,firebreath1001,scraggard
jerry-git / learn-python3,2496,623,jerry-git,cclauss,jasrys,manoharganta256,vivek28111992
